BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
262,THE CIRCUIT THEORY,A CHAKRABARTHI,,245.00,2008-02-07,YES,,,
263,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195.00,2008-02-07,YES,,,
264,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195.00,2008-02-07,YES,,,
265,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195.00,2008-02-07,YES,,,
266,HOW TO SOLVE IT BY COMPUTER,R.G.DROMEY,,235.00,2008-02-07,YES,,,
267,HOW TO SOLVE IT BY COMPUTER,R.G.DROMEY,,235.00,2008-02-07,YES,,,
268,DATA STRUCTURES AND ALGORITHMS,"ALFRED V.AHO, JOHN E.HOPCROFT, JEFFERY D. ULLMAN",,290.00,2008-02-07,YES,,,
269,DATA STRUCTURES AND ALGORITHMS,"ALFRED V.AHO, JOHN E.HOPCROFT, JEFFERY D. ULLMAN",,290.00,2008-02-07,YES,,,
270,DATA STRUCTURES AND ALGORITHMS,"ALFRED V.AHO, JOHN E.HOPCROFT, JEFFERY D. ULLMAN",,290.00,2008-02-07,YES,,,
271,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI NAVATHE SOMAYAJULU, GUPTHA",,350.00,2008-02-07,YES,,,
272,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI NAVATHE SOMAYAJULU, GUPTHA",,350.00,2008-02-07,YES,,,
273,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI NAVATHE SOMAYAJULU, GUPTHA",,350.00,2008-02-07,YES,,,
274,FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,275.00,2008-02-07,YES,,,
275,FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,275.00,2008-02-07,YES,,,
276,DISCRETE MATHEMATICS FOR COMPUTER SCIENTISTS,JOHN TRUSS,,295.00,2008-02-07,YES,,,
