BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
439,THE 8086 MICROPROCESSOR PROGRAMMING & INTERFACING THE PC,AYALA,,433.00,2009-11-10,YES,PTA,,
440,2000 SOLVED PROBLEMS IN DIGITAL ELECTRONICS,BALI,,335.00,2009-11-10,YES,PTA,,
441,CALCULUS,WEIR-THOMAS,,635.00,2009-11-10,YES,PTA,,
442,MAGIC OF C# WITH NETWARE WORK,"SHIBI PANIKKAR, KUMAR SANJEEV",,0.00,2010-03-01,YES,,,
443,ARTIFICIAL INTELLIGENCE,SHARBANI BHATTACHARIA,,150.00,2010-03-01,YES,,,
444,MOBILE COMMUNICATIONS - PHOTOSTAT,,,0.00,2010-03-01,YES,,,
445,SYSTEM SIMULATIONS WITH DIGITAL COMPUTER,NARSINGH DEO,,95.00,2010-03-24,YES,,,
446,COMPUTER ORIENTED NUMERICAL METHODS,V.RAJARAMAN,,59.00,2010-03-24,YES,,,
447,INTRODUCTION TO COMPILING TECHNIQUES (A FIRST COURSE USING ANSI C),J.P.BENNETT,,175.00,2010-03-24,YES,,,
448,INTRODUCTION TO WIRELESS AND MOBILE SYSTEMS,DHARMAPRAKASH AGARWAL,,395.00,2010-03-24,YES,,,
449,COMPILER CONSTRUCTION PRINCIPLES AND PRACTICE,KENNETH C. LOUDAS,,350.00,2010-03-24,YES,,,
450,DATA STRUCTURES AND ALGORITHMS,"ALFREN V.AHO, JOHU.E.HOPCRAFT, JEFREY D.ULLMAN",,260.00,2010-03-31,YES,,,
451,THE C PROGRAMMING LANGUAGE,BRAIN W.KERNINGHAN,,95.00,2005-03-31,YES,,,
452,WRITING SOLID CODE,STEVE MAGUIRE,,325.00,2005-03-31,YES,,,
453,INTERCONNECTIONS,RADIA PERLMAN,,325.00,2010-03-29,YES,,,
454,COMPUTER ARCHITECTURE AND PARALLAL PROCESSING,KAI HWANG,,0.00,2010-08-18,YES,,,
455,THE X86 MICROPROCESSORS,LYLA B.DAS,,0.00,2010-09-22,YES,,,
456,"DATASTRUCTURES, ALGORITHMS & APPLICATIONS IN C++",SAHNI S,MC GRAW HILL,375.00,2010-10-29,YES,,,
457,ALGORITHMS+DATA STRUCTURES=PROGRAMS,WIRTH N,PRENTICE HALL,250.00,2010-10-29,YES,,,
458,C AND DATA STRUCTURES,"DESHPANDE PS, KAKDE O.G",DREAM TECH INDIA PVT LTD,279.00,2010-10-29,YES,,,
459,DATA STRUCTURES IN C,YASWANT KANETKAR,BPB,240.00,2010-10-29,YES,,,
460,DATA STRUCTURES IN C,YASWANT KANETKAR,BPB,240.00,2010-10-29,YES,,,
461,CLASSIC DATA STRUCTURES C,SAMANTA,"PHI, NEW DELHI",395.00,2010-10-29,YES,,,
462,CLASSIC DATA STRUCTURES C,SAMANTA,"PHI, NEW DELHI",395.00,2010-10-29,YES,,,
463,DISCRETE AND MATHEMATICAL STRUCTURES WITH APPLICATIONS TO COMPUTER SCIENCE,"TREMBLAY,MANOHAR",MC GRAW HILL,325.00,2010-10-29,YES,,,
464,DISCRETE AND MATHEMATICAL STRUCTURES FOR COMPUTER SCIENCE,"KOLMAN B, BUSHY R C",PRENTICE HALL OF INDIA,375.00,2010-10-29,YES,,,
465,ELEMENTS OF DISCRETE MATHEMATICS,C.L.LIU,TATA MC GRAW HILL,265.00,2010-10-29,YES,,,
466,DIGITAL FUNDAMENTALS,FLOYD T L,UNIVERSAL BOOK STALL,450.00,2010-10-29,YES,,,
467,ELECTRONIC CIRCUITS: DISCRETE AND INTEGRATED,SCHILLING D.L & BELOVE c,MC GRAW HILL,475.00,2010-10-29,YES,,,
468,SWITCHING & FINITE AUTOMATA THEORY,KOHAVI Z,TATA MC GRAW HILL,315.00,2010-10-29,YES,,,
469,INTEGRATED ELECTRONICS: ANALOG & DIGITAL CIRCUITS & SYSTEMS,MILLMAN J.HALKIAS,TATA MC GRAW HILL,375.00,2010-10-29,YES,,,
470,INTEGRATED ELECTRONICS: ANALOG & DIGITAL CIRCUITS & SYSTEMS,MILLMAN J.HALKIAS,TATA MC GRAW HILL,375.00,2010-10-29,YES,,,
471,BASIC ELECTRONIC CIRCUITS AND LINEAR CIRCUITS,BHARGAVA ETAL,TATA MC GRAW HILL,250.00,2010-10-29,YES,,,
472,C THE COMPLETE REFERENCE,SCHILDT H,TATA MC GRAW HILL,475.00,2010-10-29,YES,,,
473,C THE COMPLETE REFERENCE,SCHILDT H,TATA MC GRAW HILL,475.00,2010-10-29,YES,,,
474,INTRODUCTION TO ALGORITHMS,CORMEN T.H.ETAL,PRENTICE HALL OF INDIA,425.00,2010-10-29,YES,,,
475,THEORY & PROBLEMS OF BASIC ELECTRICAL ENGINEERING,KOTHARI & NAGRATH,TATA MC GRAW HILL,275.00,2010-10-29,YES,,,
476,PRINCIPLES OF ELECTRONIC COMMUNICATION SYSTEMS,LOUIS E FRENZEL,TATA MC GRAW HILL,450.00,2010-10-29,YES,,,
477,WIRELESS COMMUNICATIONS & NETWORKS,WILLIAM STSLLIMGS,PEARSON EDUCATION,425.00,2010-10-29,YES,,,
478,ELECTRONIC INSTRUMENTATION & MEASUREMENTS,DAVID A BELL,PRENTICE HALL OF INDIA,250.00,2010-10-29,YES,,,
479,PETER NORTON'S INTRODUCTION TO COMPUTERS,PETER NORTON,TATA MC GRAW HILL,365.00,2010-10-29,YES,,,
480,THE C PROGRAMMING LANGUAGE,KERNIGHAN & RITCHIE,PRENTICE HALL OF INDIA,150.00,2010-10-29,YES,,,
481,DESIGN AND ANALYSIS OF ALGORITHMS,PANEER SELVAM,PRENTICE HALL OF INDIA,275.00,2010-10-29,YES,,,
482,DESIGN METHODS AND ANALYSIS OF ALGORITHMS,BASU,PRENTICE HALL OF INDIA,250.00,2010-10-29,YES,,,
483,OPERATING SYSTEM CONCEPTS,SIBERSCHATZ & GALVIN,ADDISON WESLEY,479.00,2010-10-29,YES,,,
484,OPERATING SYSTEM CONCEPTS,SIBERSCHATZ & GALVIN,ADDISON WESLEY,479.00,2010-10-29,YES,,,
485,"INTRODUCTION TO FORMAL LANGUAGES, AUTOMATA THEORY AND COMPUTATION",KAMALA KRITIVASAN & RAMA R,PEARSON EDUCATION,299.00,2010-10-29,YES,,,
486,PHP & MYSQL WEB DEVELOPMENT,"LUKE WELLING, LAURA THOMSON",PEARSON EDUCATION,850.00,2010-10-29,YES,,,
487,DATASTRUCTURES AND ALGORITHMS,"ALFRED V AHO, JOHN E HOPCROFT, JEFFREY D ULLMAN",PEARSON EDUCATION,425.00,2010-10-29,YES,,,
488,DATASTRUCTURES AND ALGORITHMS,"ALFRED V AHO, JOHN E HOPCROFT, JEFFREY D ULLMAN",PEARSON EDUCATION,425.00,2010-10-29,YES,,,
489,DATASTRUCTURES AND ALGORITHMS,"ALFRED V AHO, JOHN E HOPCROFT, JEFFREY D ULLMAN",PEARSON EDUCATION,425.00,2010-10-29,YES,,,
490,DATA COMMUNICATION AND NETWORKING IV EDITION,BEHROUZ FOROUZAN,TATA MC GRAW HILL,435.00,2010-10-29,YES,,,
491,LOGIC DESIGN THEORY,BISWAS N N,PRENTICE HALL OF INDIA,195.00,2010-10-29,YES,,,
492,LOGIC DESIGN THEORY,BISWAS N N,PRENTICE HALL OF INDIA,195.00,2010-10-29,YES,,,
493,PUBLIC KEY CRYPTOGRAPHY,ABHIJIT DAS,PEARSON EDUCATION,479.00,2010-10-29,YES,,,
494,MILLER & FREUNDS PROBABILITY AND STATICS FOR ENGINEERS,RICHARD A JOHNSON,,350.00,2010-10-29,YES,,,
495,EMBEDDED SYSTEM DESIGN : A HARDWARE/SOFTWARE APPROACH,VAHID & GIVARGIS,JOHN WILEY,319.00,2010-10-29,YES,,,
496,DIGITAL SIGNAL PROCESSING,STEIN,,419.00,2010-10-29,YES,,,
497,MILLER & FREUNDS PROBABILITY AND STATICS FOR ENGINEERS,RICHARD A JOHNSON,,350.00,2010-10-29,YES,,,
498,ERP SYSTEMS,"DIMPI SRIVASTAVA, ARATHI BATRA",I.K.INTERNATIONAL PUBLISHING HOUSE,225.00,2010-11-04,YES,,,
499,THEORY OF COMPUTATION,"S.N.SIVANANDAM, M.JANAKI MEENA",I.K.INTERNATIONAL PUBLISHING HOUSE,265.00,2010-11-04,YES,,,
500,"BASICS OF ELECTRICAL, ELECTRONICS & COMMUNICATION ENGINEERING",STOREY,,,2010-10-29,YES,,,
501,RED HAT LINUX 7.3 BIBLE,CHRISTOPHER NEGUS,,499.00,2010-12-13,YES,,,
502,THE C PROGRAMMING LANGUAGE (ANSI C),"B.W.KERNINGHAN, DENNIS RITCHIE",,95.00,2010-12-13,YES,,,
503,UNIX NETWORK PROGRAMMING,W.RICHARD STEVENS,,210.00,2010-12-13,YES,,,
504,DATABASE SYSTEM CONCEPTS,"HENRY KORTH, ABRAHAM SILBERSCHATZ, SUDARSAN",,,2010-12-13,YES,,,
505,ELECTRONICS CIRCUITS & SYSTEMS - PHOTOSTAT COPY,,,,2010-12-13,YES,,,
506,ELECTRONICS CIRCUITS & SYSTEMS,PHOTOSTAT COPY,,,2010-12-13,YES,,,
507,MATHEMATICS III,PHOTOSTAT COPY,,,2010-12-13,YES,,,
508,MICROPROCESSOR,PHOTOSTAT COPY,,,2010-12-13,YES,,,
509,MATHEMATICS III,PHOTOSTAT COPY,,,2010-12-13,YES,,,
510,DIGITAL DATA COMMUNICATIONS,PHOTOSTAT COPY,,,2010-12-13,YES,,,
511,FUNDAMENTALS OF OBJECT ORIENTED DESIGN IN UML,PHOTOSTAT COPY,,,2010-12-13,YES,,,
512,THEORY OF COMPUTATION,PHOTOSTAT COPY,,,2010-12-13,YES,,,
513,INFORMATION THEORY OF CODING,PHOTOSTAT COPY,,,2010-12-13,YES,,,
514,LINEAR CONTROL SYSTEMS,PHOTOSTAT COPY,,,2010-12-13,YES,,,
515,INFORMATION THEORY OF CODING,PHOTOSTAT COPY,,,2010-12-13,YES,,,
516,PROGRAMMING IN ANSI C - II EDITION,BALAGURUSWAMI,TATA MC GRAW HILL,,2010-12-13,YES,,,
517,PROGRAMMING LANGUAGES -CONCEPTS & CONSTRUCTS,RAVI SETHI,PEARSON EDUCATION,,2011-01-05,YES,,,
518,STOCHASTIC PROCESSES,J.MEDHI,NEW AGE INTERNATIONAL PUBLISHERS,275.00,2011-01-21,YES,,,
519,UNDERSTANDING POINTERS IN C,YASHAVANTH KANETKAR,BPB PUBLICATIONS,240.00,2011-01-25,YES,,,
520,MEDIA CODING AND CONTENT PROCESSING VOL-1,"RALF STEINMETZ, KLARA NAHRSTEDT",PRENTICE HALL OF INDIA,195.00,2011-01-25,YES,,,
521,CONTEMPORARY ABSTRACT ALGEBRA,JOSEPH A.GALLIAN,NAROSA PUBLISHING HOUSE,295.00,2011-01-25,YES,,,
522,EMBEDDED SYSTEMS ARCHITECTURE WITH CD,TAMMY NOERGAARD,ELSEVIER,525.00,2011-01-25,YES,,,
523,DISCRETE MATHEMATICS WITH APPLICATIONS,THOMAS KOSHY,ELSEVIER,495.00,2011-01-25,YES,,,
524,UNDERSTANDING POINTERS IN C,YASHAVANTH KANETKAR,BPB PUBLICATIONS,240.00,2011-01-25,YES,,,
525,INFORMATION SYSTEMS FOR MODERN MANAGEMENT,"ROBERT G. MURDICK, JOEL E.ROSS, JAMES R.CLAGGETT",PHI LEARNING,275.00,2011-02-07,YES,DEPT,,
526,CHAMBERS 21ST CENTURY DICTIONARY,MAIRI ROBINSON & GEORGE DAVIDSON (EDITORS),CHAMBERS HARRAP PUBLISHERS LTD,950.00,2011-01-25,YES,,,
527,ADVANCED MICROPROCESSORS AND INTERFACING,BADRI RAM,TATA MC GRAW HILL,135.00,2011-02-17,YES,,,
528,STRUCTURED COMPUTER ORGANIZATION,ANDREW S TANENBAUM,PRENTICE HALL INDIA,225.00,2011-02-17,YES,,,
529,ALGORITHMICS- THE SPIRIT OF COMPUTING,DAVID HAREL,PEARSON,275.00,2011-02-17,YES,,,
530,MANAGEMENT INFORMATION SYSTEMS,"ROBERT SCHULTHEIS, MARY SUMNER",TMH,510.00,2011-02-17,YES,DEPT,,
531,FIRST YEAR BTECH. QUESTION BANK WITH SOLUTIONS,KISHORE E.U,"RAJATH PUBLISHERS, KOCHIN",100.00,2011-02-17,YES,,,
532,DIGITAL FUNDAMENTALS,FLOYD & JAIN,PEARSON EDUCATION,325.00,2011-03-14,YES,,,
533,SYSTEM SOFTWARE - AN INTRODUCTION TO SYSTEMS PROGRAMMING,"LELAND L. BECK, D. MANJULA",PEARSON EDUCATION,380.00,2011-03-14,YES,,,
534,DATA STRUCTURES AND ALGORITHMS,"ALFRED V AHO, JOHN E HOPCROFT, JEFFREY D. ULLMAN",PEARSON EDUCATION,285.00,2011-03-14,YES,STUDENT FINE,,
535,LINUX  VI TH EDITION - THE COMPLETE REFERENCE,RICHARD PETERSEN,TATA MC GRAW HILL,,2011-03-18,YES,STTP,,
536,DATA STRUCTURES AND ALGORITHMS IN JAVA 3e,ADAM DROZDEK,CENGAGE LEARNING,425.00,2011-03-21,YES,PTA,,
537,APPLICATION SOFTWARE REENGINEERING,"AFSHAR ALAM, TENDAI PADENGA",PEARSON EDUCATION,385.00,2011-03-21,YES,PTA,,
538,OBJECT ORIENTED PROGRAMMING,JOYCE FARRELL,CENGAGE LEARNING,325.00,2011-03-21,YES,PTA,,
539,LEARNING C++  3e,ERIC NAGLER,CENGAGE LEARNING,325.00,2011-03-21,YES,PTA,,
540,COMPUTER ARCHITECTURE AND ORGANIZATION  3e,JOHN P.HAYES,TATA MC GRAW HILL,541.00,2011-03-21,YES,PTA,,
541,ENGINEERING A COMPILER,"KEITH D COOPER, LINDA TORCZON",ELSEVIER,450.00,2011-03-21,YES,PTA,,
542,MODERN GRAPH THEORY,BELA BOLLOBAS,SPRINGER INTERNATIONAL EDITION,495.00,2011-03-21,YES,PTA,,
543,NEURAL NETWORKS FOR PATTERN RECOGNITION,CHRISTOPHER M BISHOP,OXFORD UNIVERSITY PRESS,360.00,2011-03-21,YES,PTA,,
544,INTRODUCTION TO LANGUAGES AND THE THEORY OF COMPUTATION  3e,JOHN C MARTIN,TATA MC GRAW HILL,325.00,2011-03-21,YES,PTA,,
545,SOFTWARE TESTING PRINCIPLES AND PRACTICES,"SRINIVASAN DESIKAN, GOPALASWAMY RAMESH",PEARSON EDUCATION,350.00,2011-03-21,YES,PTA,,
546,C PROGRAMMING FOR ENGINEERING & COMPUTER SCIENCE,"H.H.TAN, T.B.D'ORAZIO",TATA MC GRAW HILL,"1,305.00",2011-03-21,YES,PTA,,
547,DESIGN AND ANALYSIS OF ALGORITHMS,"PRABHAKAR GUPTA, VINEET AGARWAL, MANISH VARSHNEY",PRENTICE HALL INDIA LEARNING,250.00,2011-03-21,YES,PTA,,
548,COMPUTER ORGANIZATION & DESIGN,RASHI AGARWAL,ACME LEARNING,250.00,2011-03-21,YES,PTA,,
549,INFORMATION RETRIEVAL - ALGORITHMS AND HEURISTICS  2e,"DAVID A GROSSMAN, OPHIR FRIEDER",SPRINGER INTERNATIONAL,395.00,2011-03-21,YES,PTA,,
550,EVOLUTIONARY ALGORITHMS WITH MAT LAB,"S.SUMATHI, SUREKHA P",ACME LEARNING,275.00,2011-03-21,YES,PTA,,
551,VLSI- DESIGN TECHNIQUES FOR ANALOG AND DIGITAL CIRCUITS,"RANDALL L.GEIGER, PHILIP E.ALLEN, NOEL R.STRADER",TATA MC GRAW HILL,575.00,2011-03-21,YES,PTA,,
552,STUDY COMPUTER WITHIN 14 DAYS (MALAYALAM),I.T.LOKAM CONTENT SINDICATE,POORNA PUBLICATIONS THRISSUR,85.00,2011-03-23,YES,STEP4U,,
553,STUDY COMPUTER WITHIN 14 DAYS (MALAYALAM),I.T.LOKAM CONTENT SINDICATE,POORNA PUBLICATIONS THRISSUR,85.00,2011-03-23,YES,STEP4U,,
554,STUDY COMPUTER WITHIN 14 DAYS (MALAYALAM),I.T.LOKAM CONTENT SINDICATE,POORNA PUBLICATIONS THRISSUR,85.00,2011-03-23,YES,STEP4U,,
555,STUDY COMPUTER WITHIN 14 DAYS (MALAYALAM),I.T.LOKAM CONTENT SINDICATE,POORNA PUBLICATIONS THRISSUR,85.00,2011-03-23,YES,STEP4U,,
556,STUDY COMPUTER WITHIN 14 DAYS (MALAYALAM),I.T.LOKAM CONTENT SINDICATE,POORNA PUBLICATIONS THRISSUR,85.00,2011-03-23,YES,STEP4U,,
557,"IBM P C & CLONES - HARDWARE, TROUBLE SHOOTING & MAINTENANCE",GOVINDARAJALU,TATA MC GRAW HILL,395.00,2011-04-01,YES,DEPT,,
558,ELEMENTS OF THE THEORY OF COMPUTATION,"HARRY R.LEWIS, CHRISTOS H.PAPADIMITRIOU",PRENTICE HALL INDIA,150.00,2011-04-01,YES,DEPT,,
559,CHAMBERS UNIVERSAL LEARNERS DICTIONARY,,CHAMBERS,225.00,2011-04-01,YES,DEPT,,
560,"EMBEDDED LINUX - HARDWARE, SOFTWARE & INTERFACING",CRAIG HOLLABAUG,PEARSON EDUCATION,265.00,2011-04-01,YES,DEPT,,
561,DISCRETE AND CONBINATORIAL MATHEMATICS,GRIMALDI & RAMANA,PEARSON EDUCATION,565.00,2011-06-02,YES,PTA,,
562,MANAGEMENT INFORMATION SYSTEMS,SCHULTHEIS SUMNER,TATA MC GRAW HILL,550.00,2011-06-02,YES,PTA,,
563,MANAGEMENT INFORMATION SYSTEMS,SCHULTHEIS SUMNER,TATA MC GRAW HILL,550.00,2011-06-02,YES,PTA,,
564,"PULSE, DIGITAL AND SWITCHNING WAVEFORMS",JACOB MILLMAN & HERBERT TAUB,TATA MC GRAW HILL,245.00,2011-06-06,YES,STUDENTS FINE,,
565,DIGITAL INTEGRATED ELECTRONICS,HERBERT TAUB & DONALDSCHILLING,TATA MC GRAW HILL,425.00,2011-06-10,YES,STUDENTS FINE,,
566,DATA COMMUNICATION AND NETWORKING,BAHROUZ A. FOROUZAN,TATA MC GRAW HILL,399.00,2011-06-20,YES,STUDENTS FINE,,
567,WEB SITE DEVELOPMENT USING PHP 5,VINAYACHANDRAN KK,"DEPT. OF IT, GECSKP",,2011-06-20,YES,DEPT COPY,,
568,"THE INTEL MICROPROCESSORS 8086/8088… ARCHITECTURE, PROGRAMMING & INTERFACING","BARRY B BRAY, C.R.SARMA",PEARSON EDUCATION,,2011-06-24,YES,STUDENTS FINE,,
569,MODELLING AND ANALYSIS OF COMPUTER COMMUNICATION NETWORKS,JEREMIAH F. HAYES,KHANNA PUBLISHERS,100.00,2011-06-29,YES,DEPT,,
570,THE FOURIER TRANSFORM AND ITS APPLICATIONS,RONALD N BRACEWELL,TATA MC GRAW HILL,325.00,2011-06-29,YES,DEPT,,
571,LOGIC DESIGN THEORY,NRIPENDRA N BISWAS,PRENTICE HALL INDIA,175.00,2011-06-30,YES,STUDENT FINE,,
572,DATA STRUCTURES AND ALGORITHMS,"ALFRED V AHO, JOHN E HOPCRAFT, JEFFERY D ULLMAN",PEARSON EDUCATION,245.00,2011-06-30,YES,STUDENTS FINE,,
573,LOGIC DESIGN THEORY,NRIBENDRA N VISWAS,PRENTICE HALL INDIA,175.00,2011-07-04,YES,STUDENT FINE,,
574,A TEXT BOOK OF ELECTRICAL TECHNOLOGY,B L THEREJA & A K THEREJA,S CHAND,180.00,2011-07-04,YES,STUDENT FINE,,
575,SYSTEM SOFTWARE- AN INTRODUCTION TO SYSTEM PROGRAMMING,LELAND L BECK & D. MANJULA,PEARSON EDUCATION,380.00,2011-07-05,YES,STUDENTS FINE,,
576,BASIC ELECTRONICS & LINEAR CIRCUITS,"NN BHARGAVA, D.C.KULSHRESHTHA, S.C.GUPTHA",TATA MC GRAW HILL,345.00,2011-07-06,YES,STUDENTS FINE,,
577,NUMERICAL METHODS,"P.KANDASAMY, K.THILAKAVATHY, K.GUNAVATHY",S.CHAND PUBLISHERS,220.00,2011-07-06,YES,STUDENTS FINE,,
578,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A FOROUZAN,TATA MC GRAW HILL,350.00,2011-07-06,YES,STUDENTS FINE,,
579,FUNDAMENTALS OF DATABASE SYSTEMS,"RAMEZ ELMASRI, SHAMKANT B.NAVATHE",PEARSON EDUCATION,485.00,2011-07-06,YES,STUDENTS FINE,,
580,CIRCUIT THEORY (ANALYSIS & SYNTHESIS),A.CHAKRABARTHI,DHAAPAT RAI &CO,175.00,2011-07-06,YES,STUDENTS FINE,,
581,"PROGRAMMING - THE 80286, 80386, 80486 AND PENTIUM BASED PERSONAL COMPUTER",BARRY B.BREY,PRENTICE HALL INDIA,325.00,2011-07-06,YES,STUDENTS FINE,,
582,ENGINEERING PHYSICS,"P.RAGHAVAN, C.M.BALAKRISHNAN, PP.SREEDHARAN ….",CALICUT UNIVERSITY CO-OP STORE,140.00,2011-07-06,YES,STUDENTS FINE,,
583,ELEMENTARY ENGINEERING DRAWING,N.D.BHATT,CHARODHAR PUBLISHING HOUSE,250.00,2011-07-06,YES,STUDENTS FINE,,
584,HIGHER ENGINEERING MATHEMATICS,DR.B.S.GREWAL,KHANNA PUBLISHERS,250.00,2011-07-06,YES,STUDENTS FINE,,
585,EMBEDDED SYSTEMS,RAJ KAMAL,TATA MC GRAW HILL,300.00,2011-07-06,YES,STUDENTS FINE,,
586,SYSTEM SOFTWARE - AN INTRODUCTION TO SYSTEMS PROGRAMMING,LELAND L BECK,PEARSON EDUCATION,295.00,2011-07-07,YES,STUDENTS FINE,,
587,DATA STRUCTURES AND ALGORITHMS,"ALFRED V.AHO, JOHN E.HOPCROFT, JEFFERY D. ULLMAN",PEARSON EDUCATION,290.00,2011-07-07,YES,STUDENTS FINE,,
588,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A FOROUZAN,TATA MC GRAW HILL,350.00,2011-07-07,YES,STUDENTS FINE,,
589,DATA AND COMPUTER COMMUNICATIONS,PRENTICE HALL INDIA,WILLIAM STALLINGS,250.00,2011-07-07,YES,STUDENTS FINE,,
590,DIGITAL FUNDAMENTALS,FLOYD & JAIN,PEARSON EDUCATION,350.00,2011-07-07,YES,STUDENTS FINE,,
591,BASIC ELECTRONICS AND LINEAR CIRCUITS,"N.N.BHARGHAVA, D.C.KULSHESHTHA, S.C.GUPTHA",TATA MC GRAW HILL,200.00,2011-07-07,YES,STUDENTS FINE,,
592,OBJECT ORIENTED PROGRAMMING WITH C++,E.BALAGURUSWAMY,TATA MC GRAW HILL,195.00,2011-07-07,YES,STUDENTS FINE,,
593,DATABASE SYSTEMS,ELMASRI & NAVATHE,PEARSON EDUCATION,485.00,2011-07-08,YES,STUDENTS FINE,,
594,HIGHER ENGINEERING MATHEMATICS,Dr.B S GREWAL,GHANNA PUBLISHERS,250.00,2011-07-08,YES,STUDENTS FINE,,
595,A TEXT BOOK OF ENGINEERING MATHEMATICS,N.P.BALI & MANISH GOYAL,LAXMI PUBLICATIONS,575.00,2011-07-08,YES,STUDENTS FINE,,
596,ENGINEERING MECHANICS -STATICS AND DYNAMICS,A.K.TAYAL,UMESH PUBLICATIONS,145.00,2011-07-08,YES,STUDENTS FINE,,
597,CONTROL SYSTEMS ENGINEERING,I J NAGRATH & M GOPAL,NEW AGE INTERNATIONAL PUBLISHERS,375.00,2011-07-08,YES,STUDENTS FINE,,
598,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A.FOROUAN,TATA MC GRAW HILL,350.00,2011-07-08,YES,STUDENTS FINE,,
599,DATA STRUCTURES AND ALGORITHMS,"ALFRED V.AHO, JOHN E.HOPCROFT, JEFFERY D. ULLMAN",PEARSON EDUCATION,290.00,2011-07-08,YES,STUDENTS FINE,,
600,VISUAL C++ PROGRAMMING,YASHVANTH KANETKAR,BPB PUBLICATIONS,270.00,2011-07-08,YES,STUDENTS FINE,,
601,HISTORY OF SCIENCE AND TECHNOLOGY,R.V.G.MENON,CALICUT UNIVERSITY CENTRAL CO-OP STORES,90.00,2011-07-08,YES,STUDENTS FINE,,
602,TECHNICAL COMMUNICATION - PRINCIPLES AND PRACTICE,MEENAKSHI RAMAN & SANGEETH SHARMA,OXFORD UNIVERSITY PRESS,275.00,2011-08-16,YES,DEPT,,
603,ESSENTIAL COMMUNICATION SKILLS,SHALINI AGGARWAL,ANE BOOKS PVT. LTD.,180.00,2011-08-16,YES,DEPT,,
604,THEORY OF COMPUTATION,MICHAEL SIPSER,CEAGAGE LEARNING,260.00,2011-08-22,YES,DEPT,,
605,LEARNING MACHINE TRANSLATION,"CYRIL GOUTTE, NICOLA CANCEDDA, MARC DYMETMAN AND GEARGE FOSTER",PRENTICE HALL INDIA,325.00,2011-08-22,YES,DEPT,,
606,INTRODUCTION TO NATURAL LANGUAGE PROCESSING / COMPUTATIONAL LINGUISTICS,"BIRD, KLEIN & LOPER",e-BOOK PRINTOUT,,2011-08-22,YES,DEPT.,,
607,NEURAL NETWORK DESIGN,"HAGAN, DEMUTH AND BEALE",CEAGAGE LEARNING - INDIA EDITION,460.00,2011-09-01,YES,DEPT,,
608,COMPILER DESIGN USING FLEX AND YACC,VINU V DAS,PRENTICE HALL OF INDIA,225.00,2011-09-26,YES,DEPT.FUND,,
609,MAKE COMPUTERS SPEAK YOUR LANGUAGE,BARUN KUMAR SAHU,UNICORN BOOKS,175.00,2011-09-26,YES,DEPT.FUND,,
610,LEADERSHIP - LESSONS FROM THE ANCIENT WORLD,"ARTHUR COTTERELL, ROGER LOWE & IAN SHAW",TIME GROUP BOOKS,375.00,2011-09-27,YES,PTA FUND,,
611,SILENT VALLEY - CHERUTHUNILPINTE NALVAZHI (MALAYALAM),"R.RADHAKRISHNAN, JOJI KOOTTUMMEL",KERALA SASTHRA SAHITHYA PARISHATHU,100.00,2011-09-27,YES,PTA FUND,,
612,DISTRIBUTED OPERATING SYSTEMS AND ALGORITHM ANALYSIS,RANDY CHOW & THEODORE JOHNSON,PEARSON EDUCATION,550.00,2011-10-25,YES,DEPT.FUND,,
613,FORMAL LANGUAGES AND AUTOMATA THEORY,"K V N SUNITHA, N KALYANI",TATA MC GRAW HILL,,2011-10-25,YES,DONATED BY : DR. PC REGHURAJ,,
614,SOFTWARE ENGINEERING,BHARAT BHUSHAN AGRWAL & SUMITH PRAKASH TAYAL,FIREWALL MEDIA,175.00,2011-10-25,YES,DONATED BY : MR. C RASEEK,,
615,ARTIFICIAL INTELLIGENCE,SHARBANI BHATTACHARYA,UNIVERSITY SCIENCE PRESS DELHI,150.00,2011-10-25,YES,DONATED BY : MR. C RASEEK,,
616,COMPUTER ARCHITECTURE - A QUANTITATIVE APPROACH,JOHN L HENNESSY & DAVID PATTERSON,ELSEVIER,480.00,2011-10-25,YES,DEPT.FUND,,
617,DISTRIBUTED SYSTEMS - CONCEPTS AND DESIGN,"COULOURIS, DOLLIMORE & KINDBERG",PEARSON EDUCATION,595.00,2011-10-25,YES,DEPT.FUND,,
618,"CRITICAL REASONING, ACADEMIC WRITING & PRESENTATION SKILLS","MARILYN ANDERSON, PRAMOD K NAIR, MADHUCCHANDA SEN",PEARSON EDUCATION,85.00,2011-10-25,YES,DEPT.FUND,,
619,CONSISE INTRODUCTION TO LANGUAGE AND MECHINES,ALAN P.PARKERS,SPRINGER,695.00,2011-11-23,YES,PTA,,
620,OPERATING SYSTEMS,"GRAY NUTT, NABENDU CHAKI, SARMITHA NEOGY",PEARSON EDUCATION,595.00,2011-11-23,YES,PTA,,
621,COMPUTER ALGORITHMS-INTRODUCTION TO DESIGN AND ANALYSIS,"SARA BAASE,ALLEN VAN GELDER",PEARSON EDUCATION,499,2011-11-23,YES,PTA,,
